case,iterations,median_ratio,checksum
CONCAT_DENSE_HEAP,1024,0.8572042653956954,0
CONCAT_BOUNDED_HEAP,512,0.999867393590381,0
CONCAT_BOUNDED_SEGMENT,512,1.0002451482924306,0
CONCAT_BOUNDED_MIXED,512,1.0031949109142024,0
STACK_DENSE_HEAP,2048,0.8174815781092826,0
STACK_GENERAL_HEAP,1024,1.0008100889130152,0
STACK_GENERAL_SEGMENT,1024,0.9988332806689191,0
STACK_GENERAL_MIXED,1024,0.9989227002584609,0
