case,sample,iterations,generated_ns,direct_ns,ratio
CONCAT_BOUNDED_SEGMENT,0,512,27981167,27950083,1.001112125498876
CONCAT_BOUNDED_SEGMENT,1,512,28058667,27965542,1.0033299908866418
CONCAT_BOUNDED_SEGMENT,2,512,27987250,27970833,1.000586932823917
CONCAT_BOUNDED_SEGMENT,3,512,27964833,27966333,0.9999463640799815
CONCAT_BOUNDED_SEGMENT,4,512,27991333,27967791,1.0008417540019519
CONCAT_BOUNDED_SEGMENT,5,512,27974666,27948875,1.0009227920622923
CONCAT_BOUNDED_SEGMENT,6,512,28000917,27963334,1.0013440099810702
