case,sample,iterations,generated_ns,direct_ns,ratio
CONCAT_BOUNDED_MIXED,0,512,29417291,29313000,1.0035578412308532
CONCAT_BOUNDED_MIXED,1,512,29381833,29360125,1.0007393701491394
CONCAT_BOUNDED_MIXED,2,512,29398166,29373917,1.0008255283079883
CONCAT_BOUNDED_MIXED,3,512,29417166,28825541,1.0205243329171167
CONCAT_BOUNDED_MIXED,4,512,29435917,31891000,0.9230164309679847
CONCAT_BOUNDED_MIXED,5,512,29417625,31860042,0.9233391782722697
CONCAT_BOUNDED_MIXED,6,512,29421542,29320084,1.0034603584355353
