case,sample,iterations,generated_ns,direct_ns,ratio
STACK_GENERAL_SEGMENT,0,1024,25452167,25143917,1.0122594264052016
STACK_GENERAL_SEGMENT,1,1024,25611000,25127917,1.019224952072231
STACK_GENERAL_SEGMENT,2,1024,25591042,26028375,0.9831978369759925
STACK_GENERAL_SEGMENT,3,1024,25894791,25965625,0.9972720086653026
STACK_GENERAL_SEGMENT,4,1024,25735250,25707958,1.0010616167958575
STACK_GENERAL_SEGMENT,5,1024,25800541,25853959,0.9979338560875725
STACK_GENERAL_SEGMENT,6,1024,26363250,26061250,1.0115880857595088
