case,sample,iterations,generated_ns,direct_ns,ratio
CONCAT_BOUNDED_SEGMENT,0,512,27958583,27943125,1.0005531951061308
CONCAT_BOUNDED_SEGMENT,1,512,27969292,27962125,1.000256310992101
CONCAT_BOUNDED_SEGMENT,2,512,27962875,27994625,0.9988658537129895
CONCAT_BOUNDED_SEGMENT,3,512,27976417,27959125,1.000618474290594
CONCAT_BOUNDED_SEGMENT,4,512,27981125,27975166,1.00021301035354
CONCAT_BOUNDED_SEGMENT,5,512,27977458,27944417,1.0011823828709685
CONCAT_BOUNDED_SEGMENT,6,512,27939375,27954917,0.9994440334056438
