case,sample,iterations,generated_ns,direct_ns,ratio
CONCAT_BOUNDED_SEGMENT,0,512,28007958,28005583,1.0000848045191562
CONCAT_BOUNDED_SEGMENT,1,512,28027667,28015958,1.0004179403752675
CONCAT_BOUNDED_SEGMENT,2,512,27998791,28022750,0.9991450161029878
CONCAT_BOUNDED_SEGMENT,3,512,28052791,28017500,1.0012596056036407
CONCAT_BOUNDED_SEGMENT,4,512,27995958,28052083,0.9979992573100543
CONCAT_BOUNDED_SEGMENT,5,512,28026041,28011000,1.0005369676198637
CONCAT_BOUNDED_SEGMENT,6,512,28051125,28044250,1.0002451482924306
