case,sample,iterations,generated_ns,direct_ns,ratio
STACK_GENERAL_MIXED,0,1024,25626875,25591500,1.0013822949026043
STACK_GENERAL_MIXED,1,1024,25596000,25614166,0.9992907830768334
STACK_GENERAL_MIXED,2,1024,25624125,25609875,1.0005564259880222
STACK_GENERAL_MIXED,3,1024,25637583,25586583,1.0019932321560874
STACK_GENERAL_MIXED,4,1024,25785542,25598625,1.0073018375010376
STACK_GENERAL_MIXED,5,1024,25748542,25775000,0.9989735014548982
STACK_GENERAL_MIXED,6,1024,25617500,25694083,0.9970194305046808
