case,sample,iterations,generated_ns,direct_ns,ratio
CONCAT_BOUNDED_SEGMENT,0,512,27972333,27958042,1.0005111588286475
CONCAT_BOUNDED_SEGMENT,1,512,27966125,27968583,0.9999121156763644
CONCAT_BOUNDED_SEGMENT,2,512,27998708,28000250,0.9999449290631334
CONCAT_BOUNDED_SEGMENT,3,512,28007500,27958125,1.0017660340240986
CONCAT_BOUNDED_SEGMENT,4,512,27943250,27979417,0.9987073712079133
CONCAT_BOUNDED_SEGMENT,5,512,27952333,27942542,1.0003503976123576
CONCAT_BOUNDED_SEGMENT,6,512,27989958,27948375,1.0014878503669713
