case,sample,iterations,generated_ns,direct_ns,ratio
CONCAT_BOUNDED_MIXED,0,512,29425292,31894000,0.9225964758261742
CONCAT_BOUNDED_MIXED,1,512,29443125,29024292,1.0144304295174538
CONCAT_BOUNDED_MIXED,2,512,29468791,29602875,0.9954705750708335
CONCAT_BOUNDED_MIXED,3,512,29451292,29304333,1.0050149239022093
CONCAT_BOUNDED_MIXED,4,512,29392583,29293708,1.0033752982039692
CONCAT_BOUNDED_MIXED,5,512,29407333,29358958,1.0016477083416926
CONCAT_BOUNDED_MIXED,6,512,29375958,29303667,1.0024669608755792
