case,sample,iterations,generated_ns,direct_ns,ratio
CONCAT_BOUNDED_SEGMENT,0,512,27955250,27970417,0.9994577485205173
CONCAT_BOUNDED_SEGMENT,1,512,27949958,27966500,0.999408506606118
CONCAT_BOUNDED_SEGMENT,2,512,27956584,27969541,0.9995367460624398
CONCAT_BOUNDED_SEGMENT,3,512,27972875,28025792,0.9981118464020571
CONCAT_BOUNDED_SEGMENT,4,512,27957083,28156708,0.9929102152140797
CONCAT_BOUNDED_SEGMENT,5,512,27931541,27940417,0.9996823239968108
CONCAT_BOUNDED_SEGMENT,6,512,27950958,27986166,0.9987419498619425
