case,sample,iterations,generated_ns,direct_ns,ratio
STACK_GENERAL_SEGMENT,0,1024,25065125,25078542,0.9994650007962983
STACK_GENERAL_SEGMENT,1,1024,25022959,25096750,0.9970597388108022
STACK_GENERAL_SEGMENT,2,1024,25021500,25055875,0.9986280662718824
STACK_GENERAL_SEGMENT,3,1024,25337167,25160917,1.0070049116254387
STACK_GENERAL_SEGMENT,4,1024,25097875,25009125,1.0035487047227762
STACK_GENERAL_SEGMENT,5,1024,25075500,25052083,1.0009347326527698
STACK_GENERAL_SEGMENT,6,1024,25065542,25025917,1.001583358563844
